epoch,train_time_sec,loss,MTIA,P_inv,Energy
0,0.05224800109863281,3.2905945777893066,27.6171875,0.0,0.1563712053362245
25,0.19305133819580078,2.3103525638580322,38.015625,0.0,3.448471404289288
50,0.3358170986175537,0.8132778406143188,51.421875,0.0,39.72530932241676
75,0.4768085479736328,0.13114164769649506,292.1875,0.5546875,483.44349046335304
100,0.6193184852600098,0.09059130400419235,390.625,0.78125,538.3418119631589
125,0.7616739273071289,0.10630415380001068,390.9375,0.78125,573.9734189894164
150,0.910071611404419,0.09258607029914856,387.3515625,0.7734375,568.768492800187
175,1.0471062660217285,0.10538851469755173,399.015625,0.796875,511.3116118726808
200,1.1851458549499512,0.09679068624973297,394.6171875,0.7890625,531.9249976964039
225,1.327843427658081,0.10584551841020584,386.78125,0.7734375,484.9974238029
250,1.4667327404022217,0.07613555341959,402.5703125,0.8046875,514.8770848780605
275,1.6046373844146729,0.08714020252227783,395.3671875,0.7890625,486.50627497860216
300,1.7432379722595215,0.07200407981872559,363.5078125,0.7265625,517.3895786676487
325,1.8876197338104248,0.07933437079191208,375.8203125,0.75,467.8763811920963
350,2.0265419483184814,0.08526858687400818,379.015625,0.7578125,542.9762195779742
375,2.1662542819976807,0.08470331132411957,358.96875,0.7109375,619.2052194846018
400,2.306642532348633,0.09448778629302979,333.7421875,0.6640625,427.62842820502715
425,2.4490926265716553,0.060551732778549194,365.375,0.7265625,524.9386251201754
450,2.6486146450042725,0.09934987872838974,387.1015625,0.7734375,560.1766167447436
475,2.8021364212036133,0.07532298564910889,384.8984375,0.765625,554.5112964809243
499,2.9391286373138428,0.08047910034656525,418.5234375,0.8359375,591.3599193438821
